"DATE"	"ATNHPIUS12420Q"
77£¯4£¯1	39.18
77£¯7£¯1	41.04
77£¯10£¯1	42.98
78£¯1£¯1	44.61
78£¯4£¯1	46.69
78£¯7£¯1	48.53
78£¯10£¯1	49.65
79£¯1£¯1	52.82
79£¯4£¯1	53.01
79£¯7£¯1	56.38
79£¯10£¯1	59.42
80£¯1£¯1	58.84
80£¯4£¯1	64.26
80£¯7£¯1	60.6
80£¯10£¯1	61.74
81£¯1£¯1	63.86
81£¯4£¯1	66.99
81£¯7£¯1	69.07
81£¯10£¯1	68.19
82£¯1£¯1	70.62
82£¯4£¯1	71.61
82£¯7£¯1	71.57
82£¯10£¯1	75.27
83£¯1£¯1	76.07
83£¯4£¯1	78.27
83£¯7£¯1	79.25
83£¯10£¯1	81.97
84£¯1£¯1	83.33
84£¯4£¯1	87.24
84£¯7£¯1	90.95
84£¯10£¯1	92.42
85£¯1£¯1	94.27
85£¯4£¯1	97.72
85£¯7£¯1	97.3
85£¯10£¯1	97.33
86£¯1£¯1	97.9
86£¯4£¯1	99.61
86£¯7£¯1	98.38
86£¯10£¯1	96.28
87£¯1£¯1	93.97
87£¯4£¯1	92.31
87£¯7£¯1	85.7
87£¯10£¯1	81.73
88£¯1£¯1	79.67
88£¯4£¯1	92.09
88£¯7£¯1	75.68
88£¯10£¯1	74.03
89£¯1£¯1	73.32
89£¯4£¯1	73.23
89£¯7£¯1	74.18
89£¯10£¯1	73.06
90£¯1£¯1	72.88
90£¯4£¯1	73.13
90£¯7£¯1	72.34
90£¯10£¯1	72.91
91£¯1£¯1	75.07
91£¯4£¯1	77.07
91£¯7£¯1	77.84
91£¯10£¯1	78.31
92£¯1£¯1	80.29
92£¯4£¯1	82.16
92£¯7£¯1	84.55
92£¯10£¯1	85.71
93£¯1£¯1	87.74
93£¯4£¯1	89.74
93£¯7£¯1	93.02
93£¯10£¯1	95.03
94£¯1£¯1	96.92
94£¯4£¯1	99.78
94£¯7£¯1	100.31
94£¯10£¯1	100.14
95£¯1£¯1	100
95£¯4£¯1	102.19
95£¯7£¯1	104.3
95£¯10£¯1	105.1
96£¯1£¯1	105.99
96£¯4£¯1	106.37
96£¯7£¯1	106.35
96£¯10£¯1	107.49
97£¯1£¯1	107.23
97£¯4£¯1	107.34
97£¯7£¯1	107.65
97£¯10£¯1	109.5
98£¯1£¯1	110.84
98£¯4£¯1	111.93
98£¯7£¯1	113.43
98£¯10£¯1	115.21
99£¯1£¯1	116.67
99£¯4£¯1	120.28
99£¯7£¯1	123.74
99£¯10£¯1	127.11
00£¯1£¯1	130.83
00£¯4£¯1	135.99
00£¯7£¯1	140.71
00£¯10£¯1	142.84
01£¯1£¯1	148.63
01£¯4£¯1	150.75
01£¯7£¯1	150.4
01£¯10£¯1	151.26
02£¯1£¯1	150.86
02£¯4£¯1	151.22
02£¯7£¯1	153.59
02£¯10£¯1	154.29
03£¯1£¯1	154.24
03£¯4£¯1	154.25
03£¯7£¯1	153.13
03£¯10£¯1	153.87
04£¯1£¯1	154.23
04£¯4£¯1	154.74
04£¯7£¯1	154.8
04£¯10£¯1	157.36
05£¯1£¯1	158.29
05£¯4£¯1	161.53
05£¯7£¯1	164.65
05£¯10£¯1	166.76
06£¯1£¯1	168.98
06£¯4£¯1	174.41
06£¯7£¯1	178.1
06£¯10£¯1	181.48
07£¯1£¯1	186
07£¯4£¯1	191.4
07£¯7£¯1	193.15
07£¯10£¯1	194.86
08£¯1£¯1	198.22
08£¯4£¯1	199.27
08£¯7£¯1	198.79
08£¯10£¯1	199.45
09£¯1£¯1	199.7
09£¯4£¯1	197.45
09£¯7£¯1	195.94
09£¯10£¯1	195.44
10£¯1£¯1	194.43
10£¯4£¯1	194.4
10£¯7£¯1	195.8
10£¯10£¯1	194.54
11£¯1£¯1	190.87
11£¯4£¯1	191.14
11£¯7£¯1	192.87
11£¯10£¯1	194.99
12£¯1£¯1	194.65
12£¯4£¯1	196.41
12£¯7£¯1	199.59
12£¯10£¯1	202.09
13£¯1£¯1	205.64
13£¯4£¯1	211.78
13£¯7£¯1	218.82
13£¯10£¯1	223.23
14£¯1£¯1	228.36
14£¯4£¯1	238.84
14£¯7£¯1	244.28
14£¯10£¯1	247.3
15£¯1£¯1	250.66
15£¯4£¯1	261.17
15£¯7£¯1	269.4
15£¯10£¯1	271.27
16£¯1£¯1	276.47
16£¯4£¯1	285.48
16£¯7£¯1	291.98
16£¯10£¯1	293.11
17£¯1£¯1	298.54
17£¯4£¯1	310.01
17£¯7£¯1	313.08
